node_type,label_original,label_normalizado,token_start,token_end,span_start,span_end,value,unit
Patient,woman,woman,6,7,14,19,,
MedicalConcept,right flank,right flank,15,17,54,65,,
DISEASE,lower quadrant abdominal pain,low quadrant abdominal pain,18,22,70,99,,
DISEASE,nausea,nausea,24,25,116,122,,
DISEASE,constipation,constipation,26,27,127,139,,
MedicalConcept,family,family,32,33,159,165,,
MedicalConcept,medication history,medication history,34,36,170,188,,
Procedure/Exam,physical examination,physical examination,43,45,229,249,,
MedicalConcept,contrast,contrast,50,51,282,290,,
Procedure/Exam,computed tomography,computed tomography,52,54,300,319,,
MedicalConcept,cm,cm,58,59,338,340,,
DISEASE,cystic lesion,cystic lesion,59,61,341,354,,
MedicalConcept,stomach,stomach,63,64,367,374,,
MedicalConcept,body,body,65,66,379,383,,
MedicalConcept,tail,tail,67,68,384,388,,
MedicalConcept,pancreas,pancrea,70,71,396,404,,
MedicalConcept,EUS,eus,79,80,441,444,,
Procedure/Exam,FNA,fna,81,82,445,448,,
Procedure/Exam,normal pancreatic echotexture,normal pancreatic echotexture,85,88,465,494,,
DISEASE,cyst,cyst,90,91,501,505,,
Procedure/Exam,internal septations,internal septation,101,103,543,562,,
DISEASE,associated masses,associated mass,104,106,566,583,,
DISEASE,malignancy,malignancy,123,124,664,674,,
MedicalConcept,extracellular mucin,extracellular mucin,130,132,704,723,,
MedicalConcept,carcinoembryonic antigen,carcinoembryonic antigen,136,138,737,761,,
MedicalConcept,CEA,cea,139,140,763,766,,
MedicalConcept,level,level,141,142,768,773,,
MedicalConcept,"12,476.5ng","12,476.5ng",143,144,777,787,,
MedicalConcept,ml,ml,145,146,788,790,,
MedicalConcept,carbohydrate antigen,carbohydrate antigen,148,150,797,817,,
MedicalConcept,CA,ca,151,152,819,821,,
MedicalConcept,6iu,6iu,158,159,837,840,,
MedicalConcept,diagnosis,diagnosis,164,165,860,869,,
DISEASE,mucinous pancreatic cystic neoplasm,mucinous pancreatic cystic neoplasm,167,171,875,910,,
MedicalConcept,patient,patient,173,174,916,923,,
Procedure/Exam,surgical resection,surgical resection,178,180,951,969,,
Procedure/Exam,laparoscopic distal pancreatectomy,laparoscopic distal pancreatectomy,183,186,976,1010,,
Procedure/Exam,laparoscopic exploration,laparoscopic exploration,194,196,1043,1067,,
MedicalConcept,entrance,entrance,197,198,1069,1077,,
MedicalConcept,lesser sac,less sac,200,202,1085,1095,,
MedicalConcept,posterior wall,posterior wall,210,212,1138,1152,,
DISEASE,lesion,lesion,217,218,1173,1179,,
MedicalConcept,adherent,adherent,223,224,1204,1212,,
Procedure/Exam,Intraoperative endoscopy,intraoperative endoscopy,251,253,1355,1379,,
DISEASE,mucosal abnormalities,mucosal abnormality,257,259,1401,1422,,
MedicalConcept,further mobilisation,further mobilisation,267,269,1453,1473,,
MedicalConcept,coeliac axis,coeliac axis,276,278,1504,1516,,
MedicalConcept,procedure,procedure,280,281,1525,1534,,
Procedure/Exam,open resection,open resection,285,287,1555,1569,,
DISEASE,gastric duplication cyst,gastric duplication cyst,295,298,1611,1635,,
MedicalConcept,coeliac vessels,coeliac vessel,313,315,1710,1725,,
Procedure/Exam,enbloc resection,enbloc resection,317,319,1733,1749,,
MedicalConcept,portion,portion,325,326,1775,1782,,
MedicalConcept,surgical stapler,surgical stapler,335,337,1827,1843,,
MedicalConcept,Repeat,repeat,340,341,1859,1865,,
Procedure/Exam,intact staple line,intact staple line,347,350,1922,1940,,
MedicalConcept,posterior stomach wall,posterior stomach wall,352,355,1948,1970,,
DISEASE,bleeding,bleeding,359,360,1990,1998,,
MedicalConcept,gross margins,gross margin,364,366,2012,2025,,
Procedure/Exam,Final pathology,final pathology,370,372,2043,2058,,
DISEASE,cm cyst,cm cyst,381,383,2089,2096,,
DISEASE,smooth internal cyst wall,smooth internal cyst wall,385,389,2104,2129,,
DISEASE,GDC,gdc,392,393,2148,2151,,
MedicalConcept,Figs,figs,394,395,2153,2157,,
MedicalConcept,postoperative day,postoperative day,406,408,2199,2216,,
MedicalConcept,regular diet,regular diet,415,417,2248,2260,,
MedicalConcept,complications,complication,419,420,2273,2286,,
MedicalConcept,follow,follow,422,423,2291,2297,,
MedicalConcept,complete resolution,complete resolution,428,430,2310,2329,,
DISEASE,pain,pain,432,433,2337,2341,,
MedicalConcept,return,return,438,439,2360,2366,,
Procedure/Exam,regular bowel function,regular bowel function,440,443,2370,2392,,
Procedure/Exam,activity,activity,444,445,2397,2405,,
