edge_id,source_label,target_label,relation
E_001,woman,abdominal pain,HAS_SYMPTOM
E_002,woman,nausea,HAS_SYMPTOM
E_003,woman,constipation,HAS_SYMPTOM
E_004,woman,computed tomography,UNDERWENT_PROCEDURE
E_005,contrast,computed tomography,SUPPORTS
E_006,woman,eus,UNDERWENT_PROCEDURE
E_007,woman,fna,UNDERWENT_PROCEDURE
E_008,woman,normal pancreatic echotexture,UNDERWENT_PROCEDURE
E_009,woman,internal septation,UNDERWENT_PROCEDURE
E_010,eus,fna,SUPPORTS
E_011,woman,cyst,HAS_SYMPTOM
E_012,woman,masse,HAS_SYMPTOM
E_013,extracellular mucin,carcinoembryonic antigen,SUPPORTS
E_014,woman,laparoscopic distal pancreatectomy,UNDERWENT_PROCEDURE
E_015,laparoscopic exploration,entrance,SUPPORTS
E_016,woman,intraoperative endoscopy,UNDERWENT_PROCEDURE
E_017,woman,open resection,UNDERWENT_PROCEDURE
E_018,woman,enbloc resection,UNDERWENT_PROCEDURE
E_019,repeat oesophagogastroduodenoscopy,intact staple line,SUPPORTS
E_020,final pathology,smooth internal cyst wall,SUPPORTS
E_021,woman,postoperative day,TREATED_BY
E_022,woman,regular diet,TREATED_BY
E_023,woman,pain,HAS_SYMPTOM
E_024,cystic lesion,6 cm,HAS_VALUE
E_025,cyst,6 cm,HAS_VALUE
E_026,cyst,9 cm,HAS_VALUE
E_027,cea,"12,476.5 ng/ml",HAS_VALUE
E_028,carbohydrate antigen,6 iu/ml,HAS_VALUE
E_029,final pathology,9.5 cm,HAS_VALUE
E_030,final pathology,4.5 cm,HAS_VALUE
E_031,final pathology,2.0 cm,HAS_VALUE
