node_id,node_type,label_original,label_normalizado,token_start,token_end,span_start,span_end,value,unit
N_001,Patient,woman,woman,6,7,14,19,,
N_002,MedicalConcept,right flank,right flank,15,17,54,65,,
N_003,DISEASE,lower quadrant abdominal pain,low quadrant abdominal pain,18,22,70,99,,
N_004,DISEASE,nausea,nausea,24,25,116,122,,
N_005,DISEASE,constipation,constipation,26,27,127,139,,
N_006,MedicalConcept,family,family,32,33,159,165,,
N_007,MedicalConcept,medication history,medication history,34,36,170,188,,
N_008,Procedure/Exam,physical examination,physical examination,43,45,229,249,,
N_009,MedicalConcept,contrast,contrast,50,51,282,290,,
N_010,Procedure/Exam,computed tomography,computed tomography,52,54,300,319,,
N_011,MedicalConcept,cm,cm,58,59,338,340,,
N_012,DISEASE,cystic lesion,cystic lesion,59,61,341,354,,
N_013,MedicalConcept,stomach,stomach,63,64,367,374,,
N_014,MedicalConcept,body,body,65,66,379,383,,
N_015,MedicalConcept,tail,tail,67,68,384,388,,
N_016,MedicalConcept,pancreas,pancrea,70,71,396,404,,
N_017,MedicalConcept,EUS,eus,79,80,441,444,,
N_018,Procedure/Exam,FNA,fna,81,82,445,448,,
N_019,Procedure/Exam,normal pancreatic echotexture,normal pancreatic echotexture,85,88,465,494,,
N_020,DISEASE,cyst,cyst,90,91,501,505,,
N_021,Procedure/Exam,internal septations,internal septation,101,103,543,562,,
N_022,DISEASE,associated masses,associated mass,104,106,566,583,,
N_023,DISEASE,malignancy,malignancy,123,124,664,674,,
N_024,MedicalConcept,extracellular mucin,extracellular mucin,130,132,704,723,,
N_025,MedicalConcept,carcinoembryonic antigen,carcinoembryonic antigen,136,138,737,761,,
N_026,MedicalConcept,CEA,cea,139,140,763,766,,
N_027,MedicalConcept,level,level,141,142,768,773,,
N_028,MedicalConcept,"12,476.5ng","12,476.5ng",143,144,777,787,,
N_029,MedicalConcept,ml,ml,145,146,788,790,,
N_030,MedicalConcept,carbohydrate antigen,carbohydrate antigen,148,150,797,817,,
N_031,MedicalConcept,CA,ca,151,152,819,821,,
N_032,MedicalConcept,6iu,6iu,158,159,837,840,,
N_033,MedicalConcept,diagnosis,diagnosis,164,165,860,869,,
N_034,DISEASE,mucinous pancreatic cystic neoplasm,mucinous pancreatic cystic neoplasm,167,171,875,910,,
N_035,MedicalConcept,patient,patient,173,174,916,923,,
N_036,Procedure/Exam,surgical resection,surgical resection,178,180,951,969,,
N_037,Procedure/Exam,laparoscopic distal pancreatectomy,laparoscopic distal pancreatectomy,183,186,976,1010,,
N_038,Procedure/Exam,laparoscopic exploration,laparoscopic exploration,194,196,1043,1067,,
N_039,MedicalConcept,entrance,entrance,197,198,1069,1077,,
N_040,MedicalConcept,lesser sac,less sac,200,202,1085,1095,,
N_041,MedicalConcept,posterior wall,posterior wall,210,212,1138,1152,,
N_042,DISEASE,lesion,lesion,217,218,1173,1179,,
N_043,MedicalConcept,adherent,adherent,223,224,1204,1212,,
N_044,Procedure/Exam,Intraoperative endoscopy,intraoperative endoscopy,251,253,1355,1379,,
N_045,DISEASE,mucosal abnormalities,mucosal abnormality,257,259,1401,1422,,
N_046,MedicalConcept,further mobilisation,further mobilisation,267,269,1453,1473,,
N_047,MedicalConcept,coeliac axis,coeliac axis,276,278,1504,1516,,
N_048,MedicalConcept,procedure,procedure,280,281,1525,1534,,
N_049,Procedure/Exam,open resection,open resection,285,287,1555,1569,,
N_050,DISEASE,gastric duplication cyst,gastric duplication cyst,295,298,1611,1635,,
N_051,MedicalConcept,coeliac vessels,coeliac vessel,313,315,1710,1725,,
N_052,Procedure/Exam,enbloc resection,enbloc resection,317,319,1733,1749,,
N_053,MedicalConcept,portion,portion,325,326,1775,1782,,
N_054,MedicalConcept,surgical stapler,surgical stapler,335,337,1827,1843,,
N_055,MedicalConcept,Repeat,repeat,340,341,1859,1865,,
N_056,Procedure/Exam,intact staple line,intact staple line,347,350,1922,1940,,
N_057,MedicalConcept,posterior stomach wall,posterior stomach wall,352,355,1948,1970,,
N_058,DISEASE,bleeding,bleeding,359,360,1990,1998,,
N_059,MedicalConcept,gross margins,gross margin,364,366,2012,2025,,
N_060,Procedure/Exam,Final pathology,final pathology,370,372,2043,2058,,
N_061,DISEASE,cm cyst,cm cyst,381,383,2089,2096,,
N_062,DISEASE,smooth internal cyst wall,smooth internal cyst wall,385,389,2104,2129,,
N_063,DISEASE,GDC,gdc,392,393,2148,2151,,
N_064,MedicalConcept,Figs,figs,394,395,2153,2157,,
N_065,MedicalConcept,postoperative day,postoperative day,406,408,2199,2216,,
N_066,MedicalConcept,regular diet,regular diet,415,417,2248,2260,,
N_067,MedicalConcept,complications,complication,419,420,2273,2286,,
N_068,MedicalConcept,follow,follow,422,423,2291,2297,,
N_069,MedicalConcept,complete resolution,complete resolution,428,430,2310,2329,,
N_070,DISEASE,pain,pain,432,433,2337,2341,,
N_071,MedicalConcept,return,return,438,439,2360,2366,,
N_072,Procedure/Exam,regular bowel function,regular bowel function,440,443,2370,2392,,
N_073,Procedure/Exam,activity,activity,444,445,2397,2405,,
N_074,ExamResult,6cm,6 cm,-1,-1,337,340,6,cm
